Age,Gender,Purchase_Frequency,Purchase_Amount,Product_Category,Location
32,M,4,72,Electronics,South
43,F,1,279,Sports & Outdoors,East
59,F,1,225,Fashion,East
30,M,10,199,Sports & Outdoors,South
68,M,5,84,Home & Kitchen,East
49,M,3,183,Home & Kitchen,South
56,F,5,76,Home & Kitchen,South
66,M,5,102,Electronics,South
69,F,1,62,Sports & Outdoors,North
49,F,8,445,Sports & Outdoors,East
21,M,5,103,Sports & Outdoors,East
47,M,5,122,Fashion,West
54,F,9,238,Electronics,East
40,M,8,259,Electronics,West
56,M,1,400,Sports & Outdoors,South
62,F,3,218,Electronics,North
32,F,7,477,Sports & Outdoors,South
60,F,1,191,Sports & Outdoors,South
46,F,1,276,Sports & Outdoors,South
53,F,5,290,Home & Kitchen,West
30,M,9,452,Fashion,North
49,F,6,481,Electronics,South
24,F,10,459,Fashion,West
68,F,2,164,Home & Kitchen,South
39,M,11,92,Electronics,North
45,F,9,195,Sports & Outdoors,South
19,F,6,358,Fashion,South
59,F,5,494,Home & Kitchen,East
62,M,5,148,Electronics,West
74,F,3,64,Electronics,North
70,F,6,28,Fashion,West
23,F,4,357,Fashion,East
45,M,10,432,Electronics,South
45,M,2,478,Electronics,North
61,M,3,355,Home & Kitchen,North
61,M,9,479,Sports & Outdoors,West
37,F,11,463,Sports & Outdoors,South
47,F,11,276,Home & Kitchen,East
28,M,9,151,Electronics,South
72,M,6,325,Fashion,West
45,F,10,173,Fashion,North
42,F,10,261,Electronics,North
56,M,9,241,Home & Kitchen,South
50,M,4,306,Electronics,South
18,M,11,395,Fashion,South
74,M,5,450,Electronics,South
44,F,10,372,Electronics,East
74,M,6,69,Home & Kitchen,East
69,M,9,413,Sports & Outdoors,East
30,F,5,31,Fashion,East
58,F,8,393,Fashion,West
20,F,11,135,Electronics,North
56,F,1,112,Fashion,North
23,F,5,397,Fashion,West
25,M,10,449,Sports & Outdoors,West
44,M,1,230,Fashion,East
26,M,10,119,Fashion,South
54,F,6,67,Home & Kitchen,North
50,M,7,481,Home & Kitchen,West
68,F,5,74,Home & Kitchen,South
59,M,1,481,Home & Kitchen,East
61,M,6,67,Home & Kitchen,West
41,F,10,167,Sports & Outdoors,North
32,F,5,85,Fashion,North
71,M,6,28,Electronics,North
49,M,11,393,Sports & Outdoors,West
49,M,10,494,Electronics,North
41,M,7,199,Home & Kitchen,East
58,M,7,259,Fashion,North
69,F,2,369,Home & Kitchen,East
66,F,3,372,Sports & Outdoors,North
66,F,6,383,Electronics,East
69,F,3,461,Fashion,West
29,M,2,88,Sports & Outdoors,East
56,M,4,93,Sports & Outdoors,West
19,F,5,181,Fashion,South
20,M,11,221,Fashion,East
66,F,10,383,Sports & Outdoors,West
54,M,9,454,Electronics,South
66,M,3,158,Electronics,North
73,M,3,19,Sports & Outdoors,South
34,F,6,39,Sports & Outdoors,East
66,F,5,289,Home & Kitchen,South
19,F,6,441,Home & Kitchen,North
19,F,7,64,Electronics,South
45,M,11,369,Home & Kitchen,East
71,M,3,136,Electronics,East
40,M,5,189,Fashion,West
54,M,8,241,Home & Kitchen,North
49,F,4,390,Electronics,North
50,M,10,431,Electronics,South
18,M,2,460,Sports & Outdoors,North
36,M,4,102,Electronics,East
19,F,2,17,Home & Kitchen,South
70,F,3,422,Sports & Outdoors,West
61,F,4,256,Sports & Outdoors,South
43,M,4,403,Home & Kitchen,South
49,F,10,462,Fashion,West
23,M,9,340,Home & Kitchen,South
49,M,10,205,Home & Kitchen,North
72,M,6,442,Sports & Outdoors,South
21,F,9,451,Home & Kitchen,South
72,F,4,172,Fashion,South
28,M,9,443,Fashion,East
73,M,11,49,Fashion,East
34,F,9,263,Sports & Outdoors,North
55,F,6,405,Home & Kitchen,West
41,F,5,94,Electronics,East
22,M,3,281,Home & Kitchen,East
69,M,5,87,Fashion,North
51,M,3,222,Home & Kitchen,North
23,F,5,313,Sports & Outdoors,West
39,F,5,264,Home & Kitchen,South
28,F,2,100,Sports & Outdoors,South
65,M,9,493,Electronics,West
33,M,7,394,Electronics,West
50,F,6,202,Sports & Outdoors,West
26,M,5,262,Home & Kitchen,North
23,F,4,287,Fashion,South
33,M,8,152,Sports & Outdoors,West
46,F,2,253,Home & Kitchen,West
20,M,8,221,Home & Kitchen,South
37,M,1,204,Home & Kitchen,South
53,F,10,279,Fashion,North
36,F,1,338,Fashion,East
43,F,3,28,Fashion,East
20,F,5,49,Sports & Outdoors,North
36,F,6,107,Sports & Outdoors,North
37,M,4,13,Fashion,South
49,F,7,42,Sports & Outdoors,North
24,F,7,308,Fashion,North
69,F,2,174,Sports & Outdoors,West
58,M,2,459,Home & Kitchen,North
50,F,2,36,Fashion,North
57,F,2,182,Sports & Outdoors,West
56,F,9,346,Home & Kitchen,South
35,M,5,122,Home & Kitchen,South
57,M,11,443,Sports & Outdoors,North
18,F,8,382,Home & Kitchen,North
28,M,5,389,Electronics,East
45,F,11,104,Fashion,West
74,M,5,328,Fashion,East
42,F,1,242,Home & Kitchen,North
67,M,6,143,Sports & Outdoors,East
40,F,4,133,Electronics,East
48,F,3,381,Sports & Outdoors,South
47,M,6,360,Fashion,West
59,F,2,332,Home & Kitchen,South
52,F,8,497,Electronics,South
24,F,1,460,Home & Kitchen,East
33,F,9,362,Electronics,West
43,M,8,125,Home & Kitchen,North
65,F,1,452,Sports & Outdoors,West
74,M,10,22,Fashion,South
69,M,9,414,Home & Kitchen,East
66,M,2,329,Home & Kitchen,North
19,M,3,174,Electronics,South
18,F,2,217,Sports & Outdoors,East
65,F,8,94,Sports & Outdoors,South
29,M,2,257,Electronics,East
22,F,10,441,Sports & Outdoors,West
54,M,2,65,Fashion,South
49,F,1,181,Home & Kitchen,West
72,F,7,150,Electronics,West
26,F,2,141,Sports & Outdoors,East
58,M,10,488,Fashion,North
52,M,5,210,Fashion,West
36,F,5,377,Sports & Outdoors,South
65,M,3,298,Sports & Outdoors,South
33,M,3,430,Electronics,East
20,F,3,318,Sports & Outdoors,West
37,M,6,366,Electronics,North
41,F,4,417,Home & Kitchen,North
71,F,3,354,Fashion,South
73,F,2,188,Electronics,East
50,M,3,434,Fashion,West
41,F,4,38,Home & Kitchen,South
69,F,6,452,Sports & Outdoors,East
28,M,4,433,Electronics,North
66,M,8,316,Sports & Outdoors,South
25,M,3,315,Fashion,East
53,M,3,376,Electronics,North
55,F,3,45,Home & Kitchen,East
57,M,8,472,Home & Kitchen,South
37,M,4,118,Sports & Outdoors,West
52,M,1,325,Home & Kitchen,East
65,M,2,155,Home & Kitchen,West
42,F,10,285,Sports & Outdoors,South
52,M,2,398,Sports & Outdoors,North
42,F,3,155,Electronics,East
46,M,6,389,Electronics,North
35,F,8,177,Sports & Outdoors,West
63,F,1,266,Fashion,West
35,M,9,284,Fashion,North
19,F,1,96,Electronics,South
71,M,10,163,Electronics,West
52,F,2,294,Sports & Outdoors,South
33,F,3,324,Fashion,North
58,F,7,328,Sports & Outdoors,South
53,M,9,107,Electronics,West
50,F,3,220,Home & Kitchen,North
21,M,8,455,Home & Kitchen,South
50,F,9,57,Home & Kitchen,South
31,F,10,327,Sports & Outdoors,East
38,F,7,283,Fashion,West
65,F,4,203,Electronics,East
37,F,4,261,Fashion,South
73,F,4,292,Fashion,West
25,M,6,271,Electronics,North
24,M,4,496,Fashion,North
20,M,5,463,Home & Kitchen,North
34,F,9,452,Electronics,South
50,M,7,271,Home & Kitchen,South
65,F,8,40,Sports & Outdoors,North
29,M,5,114,Home & Kitchen,East
68,M,5,497,Sports & Outdoors,East
39,F,11,359,Sports & Outdoors,West
72,F,7,321,Electronics,West
39,M,11,447,Home & Kitchen,North
63,M,8,478,Home & Kitchen,South
47,M,9,178,Home & Kitchen,South
55,M,2,245,Electronics,West
55,F,3,283,Sports & Outdoors,North
62,M,2,352,Sports & Outdoors,West
68,F,10,239,Sports & Outdoors,East
71,F,7,32,Electronics,North
25,M,2,485,Electronics,North
44,F,2,173,Fashion,North
44,M,2,290,Home & Kitchen,East
51,F,4,16,Sports & Outdoors,North
38,F,1,219,Fashion,West
47,M,2,262,Fashion,East
50,F,3,413,Home & Kitchen,South
45,F,7,142,Electronics,West
64,M,10,283,Fashion,West
50,F,1,115,Electronics,West
22,F,6,241,Electronics,East
65,M,3,42,Home & Kitchen,West
36,M,3,88,Fashion,East
21,F,4,44,Sports & Outdoors,North
52,F,4,119,Fashion,South
66,F,7,330,Sports & Outdoors,North
34,M,3,72,Sports & Outdoors,West
61,F,8,478,Electronics,East
45,F,8,337,Sports & Outdoors,East
47,F,11,464,Home & Kitchen,North
46,F,7,306,Fashion,West
63,F,2,187,Electronics,South
70,F,5,393,Electronics,East
23,M,6,373,Sports & Outdoors,East
52,M,10,241,Electronics,West
58,F,4,113,Home & Kitchen,East
54,F,10,423,Home & Kitchen,West
41,M,5,303,Electronics,West
46,M,9,44,Electronics,South
66,M,11,203,Home & Kitchen,West
63,F,7,183,Sports & Outdoors,North
70,F,2,401,Electronics,South
48,F,11,111,Sports & Outdoors,West
52,F,1,333,Electronics,West
50,M,2,302,Home & Kitchen,South
69,M,3,94,Electronics,East
38,M,11,406,Electronics,South
49,M,2,210,Electronics,East
40,F,11,182,Home & Kitchen,South
50,F,3,38,Home & Kitchen,South
20,M,10,306,Home & Kitchen,North
35,M,11,65,Fashion,South
42,M,11,481,Fashion,North
59,M,9,25,Fashion,West
48,M,4,149,Fashion,East
71,F,9,75,Home & Kitchen,East
20,F,11,455,Electronics,North
57,M,3,156,Home & Kitchen,East
63,M,1,167,Fashion,East
41,M,11,409,Sports & Outdoors,South
67,F,5,481,Sports & Outdoors,North
49,F,10,406,Home & Kitchen,East
64,F,10,78,Electronics,West
39,M,2,32,Fashion,North
40,F,4,199,Electronics,South
19,M,2,257,Electronics,West
44,F,2,495,Electronics,East
59,F,3,424,Fashion,East
19,F,5,318,Home & Kitchen,North
43,M,4,385,Fashion,East
34,M,2,154,Fashion,North
57,F,11,393,Home & Kitchen,East
50,M,10,314,Home & Kitchen,West
26,M,2,186,Home & Kitchen,South
60,M,6,204,Sports & Outdoors,West
71,M,7,419,Sports & Outdoors,South
65,M,10,22,Home & Kitchen,North
56,M,6,373,Electronics,East
46,M,7,175,Sports & Outdoors,West
59,F,1,159,Fashion,East
72,M,6,350,Fashion,North
43,M,11,422,Sports & Outdoors,South
52,F,3,54,Fashion,West
67,F,1,183,Home & Kitchen,South
42,F,8,176,Fashion,South
41,F,4,206,Sports & Outdoors,North
30,M,10,215,Electronics,South
24,F,8,91,Fashion,North
74,F,10,77,Fashion,South
53,M,11,106,Electronics,South
62,M,4,176,Sports & Outdoors,West
37,M,4,413,Electronics,North
18,F,10,86,Fashion,East
25,M,4,493,Sports & Outdoors,East
63,F,6,246,Home & Kitchen,East
33,M,9,205,Sports & Outdoors,West
31,M,5,300,Sports & Outdoors,West
29,F,10,145,Home & Kitchen,South
68,M,8,317,Sports & Outdoors,South
40,M,8,305,Fashion,East
32,M,4,386,Fashion,South
45,M,11,378,Fashion,South
51,M,10,376,Fashion,West
19,F,9,45,Home & Kitchen,East
49,F,9,399,Fashion,North
40,M,5,257,Sports & Outdoors,East
39,F,6,263,Electronics,West
68,F,5,223,Home & Kitchen,East
42,F,3,261,Home & Kitchen,North
39,M,11,79,Electronics,South
39,M,8,243,Fashion,East
66,M,9,493,Fashion,West
69,F,4,338,Sports & Outdoors,West
59,F,9,25,Fashion,East
23,M,9,496,Fashion,South
32,M,7,183,Sports & Outdoors,South
71,F,8,196,Fashion,West
60,F,3,303,Electronics,West
54,M,5,234,Fashion,North
50,F,3,283,Electronics,South
25,F,7,21,Electronics,East
70,F,6,319,Electronics,West
61,F,11,228,Fashion,West
61,F,3,440,Fashion,West
22,F,9,10,Home & Kitchen,West
56,F,1,408,Sports & Outdoors,South
21,M,10,120,Sports & Outdoors,West
23,M,3,484,Home & Kitchen,South
62,F,11,473,Electronics,North
49,F,10,286,Sports & Outdoors,North
69,F,11,138,Home & Kitchen,East
47,M,7,102,Electronics,West
64,M,3,460,Home & Kitchen,East
52,F,3,405,Fashion,South
72,M,2,389,Fashion,East
57,F,9,421,Electronics,East
69,F,11,48,Electronics,West
33,F,4,430,Fashion,South
30,F,10,488,Sports & Outdoors,South
67,F,6,325,Sports & Outdoors,West
59,F,2,168,Fashion,South
47,F,9,195,Sports & Outdoors,North
36,M,7,490,Fashion,West
34,F,10,362,Home & Kitchen,West
73,M,5,265,Home & Kitchen,West
36,F,7,248,Home & Kitchen,North
45,F,4,113,Sports & Outdoors,South
72,M,10,404,Home & Kitchen,North
43,M,7,375,Electronics,North
54,F,2,38,Electronics,North
43,M,7,98,Home & Kitchen,East
70,F,4,384,Electronics,South
40,F,4,406,Home & Kitchen,South
26,M,1,60,Home & Kitchen,West
29,M,3,373,Fashion,West
70,M,5,447,Home & Kitchen,East
18,M,5,156,Electronics,North
18,F,2,323,Sports & Outdoors,West
64,M,4,45,Home & Kitchen,South
51,M,1,293,Fashion,West
49,M,9,461,Electronics,North
71,M,1,396,Fashion,East
65,M,6,495,Home & Kitchen,North
42,F,7,110,Home & Kitchen,West
57,F,3,116,Home & Kitchen,East
62,M,1,354,Home & Kitchen,East
70,M,7,434,Electronics,North
18,F,3,300,Sports & Outdoors,West
33,M,10,358,Home & Kitchen,North
56,F,6,114,Fashion,West
22,F,6,230,Electronics,West
39,M,4,85,Electronics,South
46,F,11,236,Electronics,East
72,M,6,93,Fashion,West
20,M,11,474,Sports & Outdoors,North
29,F,10,85,Fashion,North
43,F,4,258,Fashion,South
33,M,8,264,Fashion,South
68,F,9,59,Home & Kitchen,South
54,M,2,365,Home & Kitchen,East
39,F,7,467,Fashion,South
74,F,9,219,Fashion,East
46,M,9,167,Home & Kitchen,South
31,M,5,337,Home & Kitchen,East
45,M,1,242,Sports & Outdoors,West
22,F,6,380,Fashion,South
64,M,8,86,Electronics,East
66,M,1,232,Sports & Outdoors,West
47,F,2,130,Electronics,South
63,F,1,463,Sports & Outdoors,West
69,M,5,319,Fashion,South
22,M,2,336,Electronics,North
29,M,10,350,Home & Kitchen,East
33,M,10,367,Sports & Outdoors,North
43,F,4,116,Electronics,East
43,F,1,250,Sports & Outdoors,North
65,M,7,444,Fashion,South
38,M,8,37,Electronics,North
56,M,5,201,Electronics,South
53,F,2,258,Electronics,East
50,M,8,373,Sports & Outdoors,South
47,M,1,222,Home & Kitchen,North
54,F,7,30,Home & Kitchen,West
40,F,1,481,Home & Kitchen,East
27,M,6,164,Fashion,West
71,M,6,36,Electronics,West
22,F,5,86,Home & Kitchen,West
53,M,2,315,Home & Kitchen,West
51,M,2,422,Electronics,West
69,F,9,432,Fashion,North
48,F,5,66,Sports & Outdoors,South
27,F,5,128,Sports & Outdoors,South
36,M,7,485,Sports & Outdoors,West
49,F,6,174,Electronics,North
18,F,2,486,Fashion,West
73,M,11,73,Electronics,West
22,M,1,57,Sports & Outdoors,East
62,F,5,159,Home & Kitchen,North
21,F,4,493,Home & Kitchen,West
33,M,3,167,Home & Kitchen,South
41,M,2,165,Sports & Outdoors,East
33,F,10,160,Fashion,West
72,F,2,234,Sports & Outdoors,West
19,M,4,269,Electronics,West
66,F,2,396,Fashion,North
45,M,4,265,Home & Kitchen,West
49,F,3,70,Fashion,South
44,M,9,361,Fashion,East
37,M,7,269,Sports & Outdoors,North
41,F,11,330,Fashion,East
29,F,3,405,Sports & Outdoors,South
67,M,8,406,Electronics,West
52,F,9,171,Fashion,North
50,F,7,389,Fashion,West
50,F,6,452,Fashion,North
68,M,4,358,Home & Kitchen,West
60,F,5,466,Sports & Outdoors,South
54,F,8,40,Sports & Outdoors,South
29,M,3,80,Home & Kitchen,West
20,F,2,406,Sports & Outdoors,South
18,F,3,447,Electronics,West
50,M,7,11,Home & Kitchen,North
57,M,8,426,Sports & Outdoors,South
27,F,1,59,Electronics,North
60,F,7,144,Sports & Outdoors,West
61,M,9,155,Home & Kitchen,North
46,M,3,188,Sports & Outdoors,East
30,F,3,273,Electronics,West
29,F,8,320,Electronics,South
48,F,4,213,Electronics,South
63,M,8,308,Sports & Outdoors,East
19,F,5,196,Home & Kitchen,West
68,M,3,39,Sports & Outdoors,West
67,M,4,68,Fashion,West
52,M,4,18,Home & Kitchen,West
40,F,8,485,Fashion,North
34,F,6,333,Sports & Outdoors,West
43,F,7,176,Home & Kitchen,North
25,M,9,346,Fashion,North
46,F,6,404,Sports & Outdoors,South
43,M,3,388,Home & Kitchen,West
27,M,3,395,Electronics,North
43,M,11,288,Electronics,West
51,M,3,200,Electronics,East
68,M,10,251,Fashion,North
58,M,2,287,Fashion,South
24,F,1,454,Sports & Outdoors,West
21,M,11,163,Electronics,South
70,F,10,405,Fashion,North
67,M,1,169,Electronics,North
62,F,4,274,Sports & Outdoors,South
28,F,3,244,Home & Kitchen,West
46,F,5,462,Fashion,North
73,F,9,355,Fashion,East
53,M,8,208,Home & Kitchen,South
42,M,9,486,Fashion,North
38,M,5,42,Sports & Outdoors,West
74,M,8,417,Fashion,North
53,F,4,98,Fashion,West
27,F,5,104,Home & Kitchen,West
54,F,3,230,Sports & Outdoors,North
26,M,5,78,Electronics,East
41,F,3,303,Electronics,West
52,M,5,246,Home & Kitchen,South
66,F,11,404,Sports & Outdoors,West
52,F,5,169,Home & Kitchen,West
65,F,6,329,Home & Kitchen,East
53,F,9,337,Electronics,West
35,F,1,285,Sports & Outdoors,North
66,M,10,299,Sports & Outdoors,East
56,F,6,376,Home & Kitchen,West
49,M,1,51,Electronics,North
41,M,6,401,Sports & Outdoors,North
40,M,2,75,Home & Kitchen,West
49,M,8,30,Fashion,South
54,M,11,344,Electronics,South
29,M,3,79,Sports & Outdoors,West
66,M,10,270,Sports & Outdoors,West
72,M,6,255,Sports & Outdoors,North
30,F,6,332,Electronics,West
40,F,4,244,Home & Kitchen,West
42,M,5,436,Fashion,North
52,M,2,281,Sports & Outdoors,West
58,M,10,108,Electronics,West
47,F,10,338,Sports & Outdoors,West
34,F,8,44,Home & Kitchen,North
66,M,10,348,Fashion,West
37,M,7,180,Sports & Outdoors,South
65,F,10,119,Electronics,West
42,F,6,491,Home & Kitchen,South
39,M,7,304,Fashion,West
30,M,1,19,Electronics,North
36,M,5,211,Sports & Outdoors,South
66,M,7,413,Electronics,West
53,F,1,266,Fashion,West
29,F,2,271,Home & Kitchen,West
58,M,9,190,Home & Kitchen,West
36,M,3,439,Sports & Outdoors,North
29,M,6,75,Sports & Outdoors,East
26,F,7,303,Sports & Outdoors,South
24,M,9,170,Sports & Outdoors,West
45,M,5,76,Fashion,North
31,M,4,109,Sports & Outdoors,East
48,F,11,86,Electronics,North
69,M,2,44,Fashion,West
36,F,3,472,Fashion,East
64,M,5,54,Sports & Outdoors,South
33,M,11,159,Fashion,South
70,M,2,77,Electronics,North
22,F,4,263,Fashion,South
52,M,1,26,Fashion,South
29,M,4,270,Electronics,East
42,F,7,222,Electronics,South
69,F,3,322,Fashion,East
38,F,10,265,Home & Kitchen,East
53,M,8,225,Fashion,East
70,F,6,360,Electronics,South
40,M,6,433,Electronics,North
33,F,1,295,Electronics,North
74,F,5,435,Home & Kitchen,South
56,F,3,16,Electronics,East
62,M,10,389,Sports & Outdoors,South
70,M,1,208,Sports & Outdoors,West
59,M,8,100,Home & Kitchen,North
56,M,7,481,Electronics,East
31,M,7,156,Electronics,South
48,M,10,434,Sports & Outdoors,East
22,M,10,427,Sports & Outdoors,West
52,M,10,159,Fashion,East
40,M,4,61,Home & Kitchen,West
46,F,11,252,Fashion,North
60,F,6,228,Home & Kitchen,East
28,M,9,15,Electronics,South
35,M,3,467,Electronics,East
64,M,9,118,Home & Kitchen,East
29,M,4,360,Fashion,West
26,F,5,418,Sports & Outdoors,West
27,F,7,75,Home & Kitchen,South
61,M,6,19,Home & Kitchen,North
34,F,10,211,Home & Kitchen,North
55,F,8,291,Electronics,West
24,M,8,398,Home & Kitchen,South
63,M,8,223,Electronics,East
30,M,3,77,Sports & Outdoors,South
57,M,10,256,Sports & Outdoors,South
59,F,6,363,Fashion,South
26,M,7,336,Electronics,North
67,F,9,59,Sports & Outdoors,East
44,M,10,26,Sports & Outdoors,South
19,F,10,20,Fashion,North
22,M,4,318,Fashion,North
46,M,5,315,Fashion,West
54,F,8,401,Electronics,East
55,F,1,485,Home & Kitchen,South
36,F,6,133,Electronics,East
25,M,4,234,Fashion,West
65,F,5,253,Home & Kitchen,West
62,F,11,327,Sports & Outdoors,South
18,F,5,482,Electronics,North
39,F,2,478,Fashion,West
69,F,8,341,Fashion,North
34,F,2,388,Home & Kitchen,West
24,F,4,355,Electronics,East
42,F,5,38,Sports & Outdoors,South
62,F,1,367,Sports & Outdoors,West
21,M,6,492,Home & Kitchen,East
53,M,2,366,Home & Kitchen,West
23,F,5,375,Sports & Outdoors,South
48,M,6,437,Home & Kitchen,East
36,M,11,374,Home & Kitchen,North
61,F,8,438,Electronics,West
71,F,9,294,Home & Kitchen,West
56,F,6,481,Fashion,East
44,F,5,68,Fashion,South
27,F,4,152,Fashion,West
43,F,2,335,Home & Kitchen,East
36,M,2,361,Sports & Outdoors,South
56,F,7,309,Fashion,West
20,M,5,235,Electronics,East
62,F,7,173,Home & Kitchen,South
30,F,11,93,Sports & Outdoors,West
67,M,1,386,Sports & Outdoors,West
45,F,1,322,Home & Kitchen,South
37,F,5,126,Home & Kitchen,South
45,M,2,329,Electronics,East
25,F,8,213,Home & Kitchen,West
58,M,3,364,Home & Kitchen,West
56,F,1,303,Sports & Outdoors,East
18,F,2,154,Fashion,West
20,M,10,36,Fashion,West
30,F,10,26,Sports & Outdoors,West
45,M,7,72,Home & Kitchen,North
74,M,6,276,Electronics,South
66,M,8,73,Fashion,North
42,F,7,48,Home & Kitchen,North
73,F,10,139,Fashion,South
50,M,8,124,Sports & Outdoors,North
55,F,3,459,Fashion,East
70,F,6,447,Sports & Outdoors,North
23,F,7,422,Sports & Outdoors,East
61,M,10,54,Sports & Outdoors,South
62,F,11,225,Electronics,West
49,M,1,97,Home & Kitchen,South
62,F,1,345,Sports & Outdoors,South
64,F,7,424,Sports & Outdoors,North
38,M,11,186,Fashion,South
33,F,3,274,Home & Kitchen,South
